Graph,Vertices,Edges,Algorithm,MST Cost,Operations,Time(ms),Faster,Fewer Ops
Graph 1,28,61,Prim,84,159,1,NO,YES
Graph 1,28,61,Kruskal,84,340,0,YES,NO

Graph 2,27,31,Prim,100,93,0,NO,YES
Graph 2,27,31,Kruskal,100,248,0,NO,NO

Graph 3,9,12,Prim,25,36,0,NO,YES
Graph 3,9,12,Kruskal,25,87,0,NO,NO

Graph 4,12,24,Prim,45,70,0,NO,YES
Graph 4,12,24,Kruskal,45,149,0,NO,NO

Graph 5,25,54,Prim,97,161,0,NO,YES
Graph 5,25,54,Kruskal,97,382,0,NO,NO

Graph 6,144,234,Prim,535,702,0,NO,YES
Graph 6,144,234,Kruskal,535,1837,0,NO,NO

Graph 7,207,574,Prim,506,1514,0,NO,YES
Graph 7,207,574,Kruskal,506,2834,0,NO,NO

Graph 8,191,233,Prim,783,699,0,NO,YES
Graph 8,191,233,Kruskal,783,1923,0,NO,NO

Graph 9,118,129,Prim,469,387,0,NO,YES
Graph 9,118,129,Kruskal,469,1065,0,NO,NO

Graph 10,133,180,Prim,500,540,0,NO,YES
Graph 10,133,180,Kruskal,500,1441,0,NO,NO

Graph 11,196,396,Prim,622,1150,0,NO,YES
Graph 11,196,396,Kruskal,622,2676,0,NO,NO

Graph 12,181,438,Prim,540,1244,0,NO,YES
Graph 12,181,438,Kruskal,540,2893,0,NO,NO

Graph 13,264,387,Prim,995,1161,0,NO,YES
Graph 13,264,387,Kruskal,995,3091,0,NO,NO

Graph 14,80,99,Prim,355,297,0,NO,YES
Graph 14,80,99,Kruskal,355,804,0,NO,NO

Graph 15,159,279,Prim,536,837,0,NO,YES
Graph 15,159,279,Kruskal,536,2156,0,NO,NO

Graph 16,659,1271,Prim,22220,3813,0,YES,YES
Graph 16,659,1271,Kruskal,22220,9709,1,NO,NO

Graph 17,695,1254,Prim,25409,3762,0,NO,YES
Graph 17,695,1254,Kruskal,25409,9686,0,NO,NO

Graph 18,728,1319,Prim,26622,3957,0,NO,YES
Graph 18,728,1319,Kruskal,26622,10151,0,NO,NO

Graph 19,966,1724,Prim,34482,5172,1,NO,YES
Graph 19,966,1724,Kruskal,34482,13401,0,YES,NO

Graph 20,896,911,Prim,36930,2733,0,NO,YES
Graph 20,896,911,Kruskal,36930,7821,0,NO,NO

Graph 21,825,1084,Prim,33679,3252,0,NO,YES
Graph 21,825,1084,Kruskal,33679,8835,0,NO,NO

Graph 22,410,1031,Prim,12131,2927,0,NO,YES
Graph 22,410,1031,Kruskal,12131,6737,0,NO,NO

Graph 23,954,2310,Prim,29481,6595,1,NO,YES
Graph 23,954,2310,Kruskal,29481,15329,1,NO,NO

Graph 24,654,1152,Prim,23145,3456,0,YES,YES
Graph 24,654,1152,Kruskal,23145,8929,1,NO,NO

Graph 25,865,2425,Prim,24594,7015,1,NO,YES
Graph 25,865,2425,Kruskal,24594,16127,1,NO,NO

Graph 26,1556,4579,Prim,423287,13640,3,NO,YES
Graph 26,1556,4579,Kruskal,423287,32205,1,YES,NO

Graph 27,1638,4184,Prim,485859,12064,2,NO,YES
Graph 27,1638,4184,Kruskal,485859,28030,1,YES,NO

Graph 28,1791,2081,Prim,736953,6243,0,NO,YES
Graph 28,1791,2081,Kruskal,736953,17385,0,NO,NO
